word1	word2	count(word1)	count(word2)	count(bigram)	pmi
система	google	476	3719	21	3.411
google	также	3719	3604	18	0.268
google	translate	3719	27	11	6.618
google	chrome	3719	283	204	7.442
например	google	843	3719	29	3.052
компания	google	1159	3719	93	4.274
google	inc	3719	309	35	4.772
системы	google	776	3719	35	3.443
google	glass	3719	62	18	6.13
google	google	3719	3719	17	0.141
google	com	3719	887	120	5.028
сервисов	google	128	3719	16	4.914
году	google	3725	3719	38	1.299
компании	google	1693	3719	118	4.071
систему	google	257	3719	13	3.609
года	google	6767	3719	67	1.256
google	приобрела	3719	57	12	5.666
google	планета	3719	33	21	7.262
google	voice	3719	24	15	7.236
google	earth	3719	105	77	7.466
google	code	3719	86	42	6.88
google	talk	3719	75	61	7.616
карты	google	197	3719	25	4.936
google	maps	3719	180	124	7.376
google	app	3719	196	24	4.884
google	street	3719	53	18	6.356
google	yahoo	3719	215	19	4.414
проекта	google	406	3719	12	2.833
to	google	231	3719	11	3.521
помощью	google	465	3719	11	2.512
google	android	3719	641	85	4.999
google	web	3719	141	20	5.096
facebook	google	1338	3719	11	0.987
сервис	google	385	3719	25	3.969
google	apps	3719	40	28	7.399
поиска	google	287	3719	19	3.997
google	facebook	3719	1338	12	1.113
компанией	google	619	3719	72	4.81
корпорации	google	137	3719	18	4.986
books	google	162	3719	66	6.618
сервиса	google	225	3719	14	3.907
корпорацией	google	66	3719	13	5.57
google	microsoft	3719	806	18	2.429
картах	google	83	3719	33	6.583
google	docs	3719	29	23	7.579
google	calendar	3719	15	13	7.707
браузера	google	199	3719	14	4.085
firefox	google	189	3719	16	4.352
google	adwords	3719	31	19	7.208
google	analytics	3719	36	31	7.698
www	google	302	3719	26	4.376
google	reader	3719	36	13	6.444
google	summer	3719	45	28	7.229
maps	google	180	3719	15	4.329
google	ru	3719	546	26	3.521
google	play	3719	168	118	7.404
ос	google	319	3719	11	3.056
google	books	3719	162	15	4.481
google	adsense	3719	28	16	7.106
google	i	3719	308	31	4.601
google	объявила	3719	184	23	4.914
google	video	3719	81	15	5.481
google	news	3719	60	11	5.466
сайте	google	456	3719	15	2.988
программы	google	488	3719	11	2.443
платформе	google	96	3719	14	5.136
code	google	86	3719	12	5.073
google	scholar	3719	17	13	7.527
конференции	google	118	3719	20	5.353
системе	google	191	3719	14	4.144
google	trends	3719	20	14	7.399
google	nexus	3719	137	17	4.903
google	wave	3719	52	35	7.343
google	tv	3719	115	12	4.653
google	now	3719	46	14	6.198
