Top positive:
7.226767 O        word.lower():minister
5.668549 O        word[-3:]:day
5.360999 I-MISC   word.lower():german
5.332156 I-PER    word.lower():clinton
5.283080 I-MISC   word.lower():frenchman
4.961689 I-ORG    -1:word.lower():v
4.868259 I-MISC   word.lower():dutch
4.834207 I-MISC   word.lower():briton
4.808223 I-ORG    word.lower():senate
4.776525 O        word.lower():chairman
4.728016 I-PER    word.lower():stenning
4.720056 O        word_mask_short:dd
4.696925 I-LOC    -1:word.lower():wisc
4.689507 I-LOC    word.lower():france
4.662597 I-LOC    +1:word_mask:ddddUddUdd
4.662407 I-LOC    -1:word.lower():colo
4.653186 I-LOC    word.lower():vatican
4.586304 I-MISC   word.lower():moslem
4.585856 I-ORG    word.lower():arch
4.528739 I-ORG    word.lower():reuters
4.496851 O        word.lower():march
4.496308 I-LOC    word.lower():ukraine
4.457898 I-MISC   word.lower():argentine
4.451691 O        word.lower():president
4.449980 I-LOC    word.lower():china
4.446464 I-LOC    word.lower():germany
4.342517 I-LOC    word.lower():balkans
4.326586 I-LOC    word.lower():pakistan
4.322744 I-LOC    word.lower():england
4.317885 I-LOC    word.lower():hungary

Top negative:
-2.179006 O        -1:word.lower():trinidad
-2.184435 I-MISC   -1:word.lower():australian
-2.202252 I-LOC    +1:word_mask:dd
-2.220177 O        +1:word.lower():yr
-2.231703 O        word_mask_short:XX
-2.234933 O        word.lower():nice
-2.248029 O        word.lower():central
-2.258522 O        -1:word.lower():saint
-2.262430 O        -1:word.lower():humanitarian
-2.293102 O        word.lower():coast
-2.355634 O        -1:word.lower():people
-2.394631 O        +1:word_mask:ddddUddUdd
-2.492904 O        +1:word.lower():india
-2.530963 O        word_mask:xxxUXxxxxx
-2.575817 O        word[-3:]:for
-2.595612 I-MISC   -1:word.lower():french
-2.598653 O        -1:word.lower():200
-2.754883 O        +1:word.lower():d.c.
-2.772423 O        word[-2:]:na
-2.813607 O        word.lower():wall
-2.841816 O        -1:word.lower():diario
-2.900605 O        word.lower():serie
-2.931134 O        -1:word.lower():beat
-3.032404 O        word_mask_short:XU
-3.081232 O        -1:word.lower():moody
-3.384834 O        -1:word.lower():cdu
-3.388778 O        -1:word.lower():queen
-3.407638 O        +1:word.lower():arose
-3.529692 O        -1:word.lower():central
-4.094848 O        -1:word.lower():lloyd
